Fold,Date,Stock_Code,Stock_Name,Predict_Prob,Actual_Return,Error_Type,Possible_Reason
10,2025-10-13 00:00:00+00:00,0005.HK,汇丰银行,0.26116382442359043,0.002194586686174116,False Negative,低概率预测但实际上涨
10,2025-10-14 00:00:00+00:00,0005.HK,汇丰银行,0.284936466352151,0.0021897810218978186,False Negative,低概率预测但实际上涨
10,2025-10-24 00:00:00+00:00,0005.HK,汇丰银行,0.28079130335210956,0.009433962264151052,False Negative,低概率预测但实际上涨
10,2025-10-02 00:00:00+00:00,0012.HK,恒基地产,0.13575927396018028,2.4420821114369504,False Negative,低概率预测但实际上涨
10,2025-10-20 00:00:00+00:00,0012.HK,恒基地产,0.25056119619097517,0.020485175202156425,False Negative,低概率预测但实际上涨
10,2025-10-02 00:00:00+00:00,0016.HK,新鸿基地产,0.2211167477952558,3.7771307570142927,False Negative,低概率预测但实际上涨
10,2025-10-15 00:00:00+00:00,0016.HK,新鸿基地产,0.20580206874202014,0.018571428571428683,False Negative,低概率预测但实际上涨
10,2025-10-24 00:00:00+00:00,0016.HK,新鸿基地产,0.08046865568245581,0.007586533902323334,False Negative,低概率预测但实际上涨
10,2025-10-27 00:00:00+00:00,0016.HK,新鸿基地产,0.1691360403461545,0.021647058823529353,False Negative,低概率预测但实际上涨
10,2025-10-09 00:00:00+00:00,0700.HK,腾讯控股,0.2482129837321638,0.026615969581749166,False Negative,低概率预测但实际上涨
11,2025-11-03 00:00:00+00:00,0005.HK,汇丰银行,0.7284089288235315,-0.7469350411710887,False Positive,高概率预测但实际下跌
11,2025-11-18 00:00:00+00:00,0005.HK,汇丰银行,0.7702126552694126,-0.028013029315960947,False Positive,高概率预测但实际下跌
11,2025-11-27 00:00:00+00:00,0005.HK,汇丰银行,0.8083049641025442,-0.0046854082998661895,False Positive,高概率预测但实际下跌
11,2025-11-28 00:00:00+00:00,0005.HK,汇丰银行,0.8104477743784699,-0.01344989912575656,False Positive,高概率预测但实际下跌
11,2025-11-13 00:00:00+00:00,0012.HK,恒基地产,0.7255945289381577,-0.010597302504816941,False Positive,高概率预测但实际下跌
11,2025-11-14 00:00:00+00:00,0012.HK,恒基地产,0.8048990543084802,-0.0029211295034079487,False Positive,高概率预测但实际下跌
11,2025-11-04 00:00:00+00:00,0016.HK,新鸿基地产,0.7841183907503365,-0.007462686567164201,False Positive,高概率预测但实际下跌
11,2025-11-13 00:00:00+00:00,0016.HK,新鸿基地产,0.8182152926485246,-0.0018289894833103393,False Positive,高概率预测但实际下跌
11,2025-11-17 00:00:00+00:00,0016.HK,新鸿基地产,0.7184658533754746,-0.00705550329256821,False Positive,高概率预测但实际下跌
11,2025-11-18 00:00:00+00:00,0016.HK,新鸿基地产,0.7526728243584827,-0.01279014684983415,False Positive,高概率预测但实际下跌
11,2025-11-03 00:00:00+00:00,0012.HK,恒基地产,0.09166150402603204,2.290729379686435,False Negative,低概率预测但实际上涨
11,2025-11-04 00:00:00+00:00,0012.HK,恒基地产,0.1547414415124451,0.017607457276022753,False Negative,低概率预测但实际上涨
11,2025-11-06 00:00:00+00:00,0012.HK,恒基地产,0.23214380870178716,0.007227671657201951,False Negative,低概率预测但实际上涨
11,2025-11-10 00:00:00+00:00,0016.HK,新鸿基地产,0.2852157901625911,0.017265515632291173,False Negative,低概率预测但实际上涨
11,2025-11-19 00:00:00+00:00,0700.HK,腾讯控股,0.2817477587490897,0.003478260869565153,False Negative,低概率预测但实际上涨
11,2025-11-12 00:00:00+00:00,1088.HK,中国神华,0.2931020514353333,0.03576248313090424,False Negative,低概率预测但实际上涨
11,2025-11-20 00:00:00+00:00,1088.HK,中国神华,0.11050446102682115,0.0252387448840381,False Negative,低概率预测但实际上涨
11,2025-11-25 00:00:00+00:00,1088.HK,中国神华,0.16774311804834463,0.007884362680683266,False Negative,低概率预测但实际上涨
11,2025-11-07 00:00:00+00:00,1109.HK,华润置地,0.28462100228754317,0.01413760603204528,False Negative,低概率预测但实际上涨
11,2025-11-27 00:00:00+00:00,1138.HK,中远海能,0.23783549951563132,0.01379310344827589,False Negative,低概率预测但实际上涨
