Feature,Importance
Copper_Return_5d,3.5199370090612656
net_constraint_risk_VIX_Change,3.392202001705103
net_constraint_per_NASDAQ_Return,3.2368900321548586
Oil_Return_5d,3.236672138373469
Copper_Return_20d,3.021048850870214
AStock_Regime_Momentum,2.7299476126732443
net_constraint_per_SP500_Return,2.56758476771459
net_constraint_per_SP500_Return_5d,2.3448723606531616
Oil_Return_20d,2.2450339836824527
net_constraint_per_NASDAQ_Return_5d,2.132479173885888
net_constraint_CN_10Y_Yield,1.87206882231502
net_constraint_risk_VIX_Level,1.8511897466677896
net_constraint_per_SP500_Return_20d,1.7900091862653733
net_constraint_US_10Y_Yield,1.6922412358557635
net_constraint_risk_VIX_Ratio_MA20,1.6817810405834146
net_constraint_per_NASDAQ_Return_20d,1.4068979627602227
net_constraint_US_2Y_Yield,1.3367510319523639
net_constraint_US_30Y_Yield,1.2666292893520177
net_constraint_per_CN_US_10Y_Spread,0.909314008587069
Return_1d,0.5311030368711148
net_effsize_SP500_Return,0.5245469334182727
net_effsize_per_VIX_Change,0.4928759737601644
Overnight_Return,0.4623976227340619
net_comm_rank_SP500_Return,0.4455510324937904
Volatility_Mean_60d,0.4269690382696979
net_effsize_SP500_Return_5d,0.3940367552682339
60d_Trend_NASDAQ_Return_20d,0.3844925250599235
Turnover_Change_20d,0.37373631724651596
net_cohesion_Hybrid_Vol_Trend,0.3558830466814721
Kurtosis_5d,0.354043946884821
Momentum_Accel_5d,0.336253170726313
Space_To_Limit_Up,0.3314492486235211
MA250_Deviation,0.3261757082932263
net_effsize_NASDAQ_Return,0.3189426656301925
Gap_Size,0.28995993392997943
Overnight_Intraday_Ratio,0.28614211964183195
60d_Trend_SP500_Return_20d,0.28581778809325314
RSI_Deviation_MA20,0.28452294002210626
10d_Trend_CN_10Y_Yield,0.2838411629687364
Volume_Volatility,0.28230424543916904
Intraday_Vol_5d,0.27126512494661076
Return_120d,0.26810425067738164
STR_Signal,0.26670983295272005
Volatility_120d,0.26626058668681757
3d_Trend_RSI_ROC,0.26462567385835445
Close_Position,0.2587104417664215
STR_Intensity,0.2586128779537494
3d_Trend_NASDAQ_Return_5d,0.2585098247840931
MA5_Deviation_Std,0.2575852245718263
Market_Cap,0.2572496557657125
