Feature,Importance
AStock_Regime_Momentum,3.7365382031345096
Oil_Return_20d,3.526791019608299
net_constraint_US_2Y_Yield,3.118485368766882
Copper_Return_20d,3.0077944289088685
Oil_Return_5d,2.826338003254036
net_constraint_risk_VIX_Level,2.503051862886038
Copper_Return_5d,2.352562759875105
net_constraint_CN_10Y_Yield,2.031227403698264
Volatility_Mean_60d,1.5364696529278867
net_constraint_per_SP500_Return_20d,1.4699969573586933
net_constraint_per_CN_US_10Y_Spread,1.3540163925459698
net_constraint_US_10Y_Yield,1.2885514849667197
net_constraint_US_30Y_Yield,1.2276765045255809
net_constraint_risk_VIX_Ratio_MA20,1.1749946798986863
MA250_Slope,1.065804291740631
net_constraint_per_NASDAQ_Return_20d,0.8552096280580886
Volatility_30pct,0.7967253785135938
net_constraint_per_SP500_Return_5d,0.7760317597268098
Volatility_30d,0.6571255774307967
BB_Width_MA60,0.5592258456581741
Volatility_70pct,0.5459002493760972
net_constraint_per_NASDAQ_Return_5d,0.5267019799301753
Return_120d,0.5204062909658488
60d_Trend_Volatility_60d,0.5055368455444682
MA120_Slope,0.5002766014204949
Trend_Slope_60d,0.4852921158684026
ATR_Ratio_120d,0.48480232622732067
ATR_Ratio_60d,0.47746057563689254
RSI_Deviation_MA20,0.47609246392574706
Volume_Volatility,0.46323124691983175
Return_250d,0.4578153711906958
ADX,0.45724934657362026
Return_1d,0.4550520078227042
anomaly_if_score,0.44917714223870303
Channel_Width_Ratio_20d,0.4477373653253815
BB_Width_Normalized,0.4466806544745052
Distance_Support_120d,0.39561697213796587
ATR_Change_5d,0.3896382934899298
60d_Trend_VIX_Level,0.38159008728734667
CMF_Signal,0.38064974567307824
Volatility_60d,0.3789385816624941
High_Limit,0.37848111116351507
Volatility_20d,0.3743144894395735
Intraday_Vol_5d,0.36783864315058995
Market_Cap,0.36683812390939646
RSI_120,0.36610380373807033
PB,0.35312779588230037
net_comm_2_US_10Y_Yield,0.35294616293940095
AStock_Regime_Expected_Duration,0.35155848381799365
60d_Trend_SP500_Return_20d,0.3481235889222726
