Feature,Importance
net_constraint_US_2Y_Yield,3.2370588810056247
net_constraint_CN_10Y_Yield,3.1310036706165247
net_constraint_US_30Y_Yield,2.6513186262525896
Oil_Return_20d,1.965157873651507
AStock_Regime_Expected_Duration,1.9375242269794797
MA250_Slope,1.7914277921730661
Copper_Return_20d,1.6250008583116728
AStock_Regime_Momentum,1.5662683244663889
Volatility_Mean_60d,1.5101022115430567
BB_Width_MA60,1.4190581448437949
Volatility_30pct,1.4144232337172964
High_Limit,1.368491740695597
Return_60d,1.314885421750156
Volatility_70pct,1.2244934246373054
MA120_Slope,1.1304305350115116
AStock_Regime_Switch_Prob_5d,1.1192730801856672
Channel_Width_Ratio_20d,1.0302869944770598
net_constraint_risk_VIX_Level,0.9953934275233889
Return_250d,0.961203041250633
anomaly_count_30d,0.9535078429353655
Market_Cap,0.8878723006186263
net_constraint_US_10Y_Yield,0.8121193517634653
sentiment_days,0.8026463638681828
PB,0.7932430208159434
Distance_Support_120d,0.7756869393009289
sentiment_volatility,0.7725138246316214
net_constraint_per_CN_US_10Y_Spread,0.7411464370720817
Kurtosis_20d,0.7364119458535364
RSI_Deviation_MA20,0.7272395177647142
Volatility_30d,0.7226916819596311
Volatility_120d,0.7069147362530322
net_comm_1_US_30Y_Yield,0.6985949397400694
Low_Limit,0.6871701547722983
sentiment_ma7,0.673774345176477
Expectation_Change_Strength,0.6691002085509945
net_constraint_per_NASDAQ_Return_20d,0.653464116515637
cyclical_score,0.6455716260953439
ADX,0.6445199223283697
Sentiment_Gap_MA14,0.62852095399767
net_constraint_per_SP500_Return_20d,0.6258951481479458
net_constraint_risk_VIX_Ratio_MA20,0.6258575585813775
Sentiment_Gap_MA7,0.5945704003711638
PE,0.575977549408423
net_centrality_per_VIX_Level,0.5759746948580575
Volatility_60d,0.5677039443076036
Trend_Vol_Match,0.5291412327582177
stock_type_sector,0.5278997975481519
Momentum_Accel_120d,0.521464511864056
is_core,0.516757965350673
net_comm_1_US_2Y_Yield,0.5090734759829505
