timestamp,type,code,name,shares,price,amount,capital_after
2025-10-24T13:55:01.329497,BUY,1288.HK,农业银行,16600,6.010000228881836,99766.00379943848,900233.9962005615
2025-10-24T13:55:01.442624,BUY,1347.HK,华虹半导体,1100,79.6500015258789,87615.0016784668,812618.9945220947
2025-10-24T13:55:01.561671,BUY,2533.HK,黑芝麻智能,3500,23.040000915527344,80640.0032043457,731978.991317749
2025-10-24T13:55:01.676647,BUY,0981.HK,中芯国际,900,77.80000305175781,70020.00274658203,661958.988571167
2025-10-24T13:55:01.780729,BUY,0939.HK,建设银行,8400,7.880000114440918,66192.00096130371,595766.9876098633
2025-10-24T14:15:55.396706,BUY,1288.HK,农业银行,5500,6.010000228881836,33055.0012588501,562711.9863510132
2025-10-24T14:15:55.497049,BUY,3968.HK,招商银行,600,49.91999816894531,29951.998901367188,532759.987449646
2025-10-24T14:15:55.596593,BUY,0939.HK,建设银行,3700,7.869999885559082,29118.999576568604,503640.9878730774
2025-10-24T14:15:55.706847,BUY,1398.HK,工商银行,4600,6.070000171661377,27922.000789642334,475718.98708343506
2025-10-24T14:15:55.809305,BUY,0728.HK,中国电信,4600,5.650000095367432,25990.000438690186,449728.9866447449
2025-10-24T14:15:55.903693,BUY,6682.HK,第四范式,400,54.45000076293945,21780.00030517578,427948.9863395691
2025-10-24T14:15:56.010497,BUY,1347.HK,华虹半导体,200,80.30000305175781,16060.000610351562,411888.98572921753
2025-10-24T14:15:56.109826,BUY,0981.HK,中芯国际,200,78.0999984741211,15619.999694824219,396268.9860343933
2025-10-24T14:15:56.224516,BUY,2533.HK,黑芝麻智能,900,22.959999084472656,20663.99917602539,375604.9868583679
2025-10-24T14:27:30.408086,BUY,1347.HK,华虹半导体,400,80.25,32100.0,343504.9868583679
2025-10-24T14:27:30.504400,BUY,1288.HK,农业银行,5700,6.010000228881836,34257.001304626465,309247.98555374146
2025-10-24T14:27:30.607190,BUY,6682.HK,第四范式,500,54.0,27000.0,282247.98555374146
2025-10-24T14:27:30.719631,BUY,0981.HK,中芯国际,300,77.8499984741211,23354.999542236328,258892.98601150513
2025-10-24T14:27:30.822523,BUY,3968.HK,招商银行,500,49.79999923706055,24899.999618530273,233992.98639297485
2025-10-24T14:27:30.925056,SELL,2533.HK,黑芝麻智能,4400,22.940000534057617,100936.00234985352,334928.98874282837
2025-10-24T14:39:17.701631,BUY,1288.HK,农业银行,4600,6.019999980926514,27691.999912261963,307236.9888305664
2025-10-24T14:39:17.885285,BUY,1347.HK,华虹半导体,300,80.5,24150.0,283086.9888305664
2025-10-24T14:39:18.031197,BUY,6682.HK,第四范式,400,54.150001525878906,21660.000610351562,261426.98822021484
2025-10-24T14:39:18.192160,BUY,0939.HK,建设银行,2700,7.889999866485596,21302.99963951111,240123.98858070374
2025-10-24T14:39:18.337096,BUY,1398.HK,工商银行,3300,6.059999942779541,19997.999811172485,220125.98876953125
2025-10-24T14:39:18.493878,BUY,3968.HK,招商银行,300,49.84000015258789,14952.000045776367,205173.98872375488
2025-10-24T14:50:45.980576,BUY,1288.HK,农业银行,3400,6.019999980926514,20467.999935150146,184705.98878860474
2025-10-24T14:50:46.074099,BUY,1347.HK,华虹半导体,200,80.94999694824219,16189.999389648438,168515.9893989563
2025-10-24T14:50:46.183210,BUY,6682.HK,第四范式,300,54.25,16275.0,152240.9893989563
