Leaf_Feature,Coefficient
gbdt_leaf_25_55,-0.7307382396557923
gbdt_leaf_31_44,0.7054943011052135
gbdt_leaf_27_19,0.6926688998728286
gbdt_leaf_12_58,-0.6795503136178602
gbdt_leaf_27_16,0.6668844938674764
gbdt_leaf_30_37,-0.6373973703704657
gbdt_leaf_12_49,-0.6152917939820405
gbdt_leaf_27_61,0.6076823497083524
gbdt_leaf_28_17,0.5930225978753182
gbdt_leaf_6_20,-0.5914888450425535
gbdt_leaf_22_37,0.5823550897517105
gbdt_leaf_26_50,-0.5771420581609957
gbdt_leaf_30_57,0.5494350976302053
gbdt_leaf_29_55,0.5472748895689143
gbdt_leaf_22_10,-0.5413492186138724
gbdt_leaf_18_23,0.535901452090533
gbdt_leaf_17_26,-0.5329220678556864
gbdt_leaf_26_23,0.5290583092310452
gbdt_leaf_15_29,0.5290104332367965
gbdt_leaf_26_13,-0.5277788512434399
gbdt_leaf_18_58,-0.5236557509173451
gbdt_leaf_6_41,0.5202434728519204
gbdt_leaf_1_36,0.5171640313824688
gbdt_leaf_30_25,-0.5146816832878117
gbdt_leaf_18_9,0.5144300127737103
gbdt_leaf_30_12,0.5126195289634201
gbdt_leaf_18_25,-0.5124035940730951
gbdt_leaf_29_32,0.5101471291071967
gbdt_leaf_14_49,0.5088388627900736
gbdt_leaf_20_49,-0.5085719254519208
gbdt_leaf_31_41,-0.50802317029904
gbdt_leaf_29_46,0.5079654796918606
gbdt_leaf_6_17,0.5049795180971307
gbdt_leaf_20_13,-0.5025455591174014
gbdt_leaf_29_20,-0.5022044356309282
gbdt_leaf_6_40,-0.5000680091357975
gbdt_leaf_28_33,-0.49508430145725846
gbdt_leaf_21_53,-0.49303270265337606
gbdt_leaf_25_29,0.4924373822367602
gbdt_leaf_14_45,-0.4919449865620468
gbdt_leaf_31_62,-0.4903164276442185
gbdt_leaf_16_17,0.48782349328943525
gbdt_leaf_26_54,-0.48754668359529346
gbdt_leaf_25_47,-0.48712732232180195
gbdt_leaf_16_35,0.4867334072684532
gbdt_leaf_26_22,-0.4842609829766997
gbdt_leaf_25_8,0.4835695022065564
gbdt_leaf_4_48,0.4787972324116947
gbdt_leaf_12_8,0.4759302720456255
gbdt_leaf_21_21,0.4746327217534689
gbdt_leaf_8_21,0.4723566415767724
gbdt_leaf_25_31,0.47127101856450654
gbdt_leaf_18_40,-0.47115178546000347
gbdt_leaf_8_50,-0.4701996476285044
gbdt_leaf_25_38,-0.4699630882521246
gbdt_leaf_24_11,0.46622423868441454
gbdt_leaf_31_12,-0.46581343632951167
gbdt_leaf_24_29,-0.4656728200853997
gbdt_leaf_19_63,-0.46452525034684966
gbdt_leaf_21_20,-0.46449428018452305
gbdt_leaf_21_59,0.4607924891310389
gbdt_leaf_28_28,-0.45868661633561253
gbdt_leaf_11_60,-0.4577886687910203
gbdt_leaf_29_48,-0.4570015517118445
gbdt_leaf_27_13,0.4568922470758078
gbdt_leaf_24_16,-0.45594257631622853
gbdt_leaf_31_21,0.4527276623035694
gbdt_leaf_20_53,0.4524641773225911
gbdt_leaf_14_37,-0.45132992865055194
gbdt_leaf_23_39,-0.44966709438259
gbdt_leaf_24_24,0.44847147557813305
gbdt_leaf_27_25,-0.4483363363147416
gbdt_leaf_29_31,-0.44771528342846517
gbdt_leaf_1_59,0.4472454649206629
gbdt_leaf_4_56,-0.4424358503623508
gbdt_leaf_19_22,-0.4409280201289797
gbdt_leaf_26_10,0.4404319824326363
gbdt_leaf_23_56,-0.4396815146337443
gbdt_leaf_28_31,0.4395441017625808
gbdt_leaf_21_26,0.4394437111983253
gbdt_leaf_2_60,-0.43858454808480773
gbdt_leaf_27_59,0.437478098888842
gbdt_leaf_26_33,-0.43727506803424204
gbdt_leaf_6_16,-0.4352828324178437
gbdt_leaf_20_15,0.4351456762549499
gbdt_leaf_24_55,0.4349206831063664
gbdt_leaf_8_52,0.4347978592229181
gbdt_leaf_12_24,0.4336748737115864
gbdt_leaf_15_57,-0.4336250486884884
gbdt_leaf_12_17,-0.4333256555925271
gbdt_leaf_27_58,-0.4326583662279336
gbdt_leaf_30_31,-0.43258450023401085
gbdt_leaf_31_14,0.42924954303547597
gbdt_leaf_23_28,0.4281116382483939
gbdt_leaf_30_45,-0.42712068895890504
gbdt_leaf_25_53,-0.42427947815985095
gbdt_leaf_19_38,0.4239876796859987
gbdt_leaf_15_21,-0.4239395014196
gbdt_leaf_11_27,0.4233655326022945
gbdt_leaf_29_43,-0.4233516347331205
gbdt_leaf_16_38,-0.4230916590145804
gbdt_leaf_14_31,-0.421511643877283
gbdt_leaf_22_50,0.4209742488605507
gbdt_leaf_10_31,0.41963343362732564
gbdt_leaf_20_56,0.4189982040685912
gbdt_leaf_1_53,0.4178054297860971
gbdt_leaf_11_59,-0.41757459978679384
gbdt_leaf_25_25,-0.41731885518302747
gbdt_leaf_14_54,0.4164962385212598
gbdt_leaf_20_52,-0.4161019524158276
gbdt_leaf_0_29,0.41349322036814334
gbdt_leaf_6_55,0.41344036566956793
gbdt_leaf_20_32,0.4133412686963196
gbdt_leaf_11_19,0.4125892460833214
gbdt_leaf_31_36,0.4125509764193991
gbdt_leaf_10_30,-0.4122080788252963
gbdt_leaf_20_50,-0.41173549998341985
gbdt_leaf_30_0,-0.411624448717738
gbdt_leaf_6_27,-0.41120246905166896
gbdt_leaf_18_57,0.4105822232032044
gbdt_leaf_5_59,0.41037341277486244
gbdt_leaf_13_14,0.409937045920619
gbdt_leaf_25_61,-0.40885247586811124
gbdt_leaf_27_8,-0.408712487940216
gbdt_leaf_13_16,-0.40746164014665437
gbdt_leaf_15_48,0.4065567071075535
gbdt_leaf_29_57,0.40637397748825044
gbdt_leaf_4_46,0.4052092922600884
gbdt_leaf_17_24,0.40517699979687377
gbdt_leaf_3_36,-0.4044697655839462
gbdt_leaf_5_35,0.4042677249525025
gbdt_leaf_13_42,-0.40351591660978287
gbdt_leaf_1_25,-0.4026538558407241
gbdt_leaf_27_32,-0.40222397991623765
gbdt_leaf_15_32,-0.40203976552650283
gbdt_leaf_11_48,0.4010546168768795
gbdt_leaf_16_25,0.4010465873198305
gbdt_leaf_28_41,-0.3977833284573257
gbdt_leaf_4_20,-0.39763069766437625
gbdt_leaf_29_9,0.39756824470891633
gbdt_leaf_14_63,-0.39687989177146077
gbdt_leaf_13_19,-0.3942674447215206
gbdt_leaf_31_25,0.3941304409563213
gbdt_leaf_8_61,0.39383292134427333
gbdt_leaf_28_61,0.3932025107545735
gbdt_leaf_23_32,-0.39247039099305325
gbdt_leaf_2_38,-0.3918369534256308
gbdt_leaf_21_22,-0.3915682009762375
gbdt_leaf_22_17,0.391282264836174
gbdt_leaf_13_15,-0.3910683750522705
gbdt_leaf_16_57,-0.38939141634635416
gbdt_leaf_12_45,0.38937274028178936
gbdt_leaf_0_35,-0.38911809650731694
gbdt_leaf_20_51,0.38836040685710305
gbdt_leaf_27_11,0.388167232069531
gbdt_leaf_25_35,0.38696279229859953
gbdt_leaf_13_60,-0.38557105266749414
gbdt_leaf_24_6,0.38498677801240927
gbdt_leaf_0_45,0.3849866488725071
gbdt_leaf_22_47,-0.38471052031789443
gbdt_leaf_7_47,-0.3844082680837703
gbdt_leaf_20_25,0.3842009280443172
gbdt_leaf_30_27,-0.3829623336008586
gbdt_leaf_29_28,0.3824480570523311
gbdt_leaf_14_62,0.38220369926455633
gbdt_leaf_22_28,0.381656974080524
gbdt_leaf_8_56,-0.3811199461429165
gbdt_leaf_8_4,0.38104319954779753
gbdt_leaf_28_18,-0.3803214005584659
gbdt_leaf_11_45,-0.3795676686538592
gbdt_leaf_16_54,-0.37922243595591437
gbdt_leaf_6_23,-0.3788350974972554
gbdt_leaf_2_44,-0.37768054712342947
gbdt_leaf_29_26,-0.3767288283362532
gbdt_leaf_13_45,-0.3760565386809781
gbdt_leaf_16_39,-0.3758743194061447
gbdt_leaf_9_41,-0.3743701293543834
gbdt_leaf_0_18,0.37322488704016993
gbdt_leaf_4_37,-0.3730026797073925
gbdt_leaf_27_44,-0.37202538128491386
gbdt_leaf_22_11,-0.3712763339847063
gbdt_leaf_12_32,0.37085498711885345
gbdt_leaf_29_3,-0.3699115017349082
gbdt_leaf_29_8,-0.3698933444026698
gbdt_leaf_12_7,0.3694279593417459
gbdt_leaf_11_49,-0.3692320241436063
gbdt_leaf_9_23,0.3691444485650178
gbdt_leaf_19_56,0.36880418907201434
gbdt_leaf_19_33,0.36774949341855684
gbdt_leaf_13_49,-0.3671209903517352
gbdt_leaf_21_32,0.3671159593953962
gbdt_leaf_20_28,-0.3671047366261689
gbdt_leaf_14_44,-0.36617630289134145
gbdt_leaf_29_40,0.3656427061239753
gbdt_leaf_17_48,-0.36483589045233117
gbdt_leaf_29_47,0.36461651343220697
gbdt_leaf_24_35,0.3633870138189296
gbdt_leaf_4_50,0.36280916157199516
gbdt_leaf_21_27,-0.36230161523931464
gbdt_leaf_28_54,0.3622025141770565
gbdt_leaf_19_40,0.36121625063509166
gbdt_leaf_27_22,-0.36102510636524493
gbdt_leaf_18_55,-0.3608455518202492
gbdt_leaf_24_48,-0.36048050360515255
gbdt_leaf_24_49,0.36042501656565323
gbdt_leaf_19_44,0.3600645873767336
gbdt_leaf_26_55,0.35951862713295213
gbdt_leaf_15_31,-0.35880825089615487
gbdt_leaf_22_30,-0.35846367962161013
gbdt_leaf_29_33,-0.3576980796472663
gbdt_leaf_29_10,-0.35722241006466054
gbdt_leaf_20_60,0.3568405594997599
gbdt_leaf_0_31,-0.3557179988429375
gbdt_leaf_6_56,-0.35564765597239667
gbdt_leaf_26_26,-0.35552334496419413
gbdt_leaf_8_58,-0.35508143472711423
gbdt_leaf_4_35,0.3534508732964281
gbdt_leaf_26_37,-0.35335566344522357
gbdt_leaf_19_45,-0.3525539072465945
gbdt_leaf_4_21,0.3522337373595406
gbdt_leaf_30_50,0.35222116649641183
gbdt_leaf_18_53,-0.35186899524677145
gbdt_leaf_0_62,0.35066917163318356
gbdt_leaf_5_49,-0.35049624618601233
gbdt_leaf_23_59,0.3501539820532794
gbdt_leaf_23_46,0.35002988771027926
gbdt_leaf_0_55,-0.34868371448472435
gbdt_leaf_6_34,0.34826241539410047
gbdt_leaf_4_61,0.3477208246589106
gbdt_leaf_20_37,0.34720775484219013
gbdt_leaf_7_41,-0.34705410472101406
gbdt_leaf_6_45,0.34704525744282283
gbdt_leaf_26_9,-0.34646155808945295
gbdt_leaf_25_59,-0.3461022906142295
gbdt_leaf_13_13,0.3458879209571472
gbdt_leaf_31_2,-0.3447080409946086
gbdt_leaf_20_2,-0.344215650908642
gbdt_leaf_28_40,0.3442010418123557
gbdt_leaf_8_60,-0.34350255297750015
gbdt_leaf_15_60,0.34349693439204654
gbdt_leaf_15_54,-0.34301526054148146
gbdt_leaf_14_13,-0.3428531119286733
gbdt_leaf_30_29,0.34236453194276184
gbdt_leaf_28_8,0.3421205723699565
gbdt_leaf_23_20,-0.3418070547281597
gbdt_leaf_29_53,-0.341772422335658
gbdt_leaf_6_62,-0.34154696745032675
gbdt_leaf_16_51,0.34109827433663814
gbdt_leaf_12_36,-0.34094101457674403
gbdt_leaf_27_54,-0.3409210477654679
gbdt_leaf_5_22,-0.3408308312581873
gbdt_leaf_23_33,0.34036846817448396
gbdt_leaf_11_20,0.33983616040242337
gbdt_leaf_15_61,-0.33904439047729135
gbdt_leaf_3_51,0.33901103421552026
gbdt_leaf_18_51,0.33817832256946656
gbdt_leaf_3_61,-0.3381475946221523
gbdt_leaf_21_8,0.3379029518960518
gbdt_leaf_22_54,0.33786216737767033
gbdt_leaf_3_60,0.33728145706780427
gbdt_leaf_1_56,-0.33716273481490733
gbdt_leaf_10_13,0.3359917467393468
gbdt_leaf_21_35,0.3353669505651894
gbdt_leaf_10_15,0.335084780409659
gbdt_leaf_20_55,-0.33472827092207263
gbdt_leaf_4_27,-0.334206994918421
gbdt_leaf_16_47,-0.33401699902301474
gbdt_leaf_6_7,0.3338068885015447
gbdt_leaf_6_52,-0.3327074528312623
gbdt_leaf_23_27,-0.3326975428871275
gbdt_leaf_31_42,0.3320779444652837
gbdt_leaf_31_19,0.3315964651766504
gbdt_leaf_22_23,-0.3315778225909005
gbdt_leaf_13_39,-0.3315075608205326
gbdt_leaf_12_44,-0.3304801692193748
gbdt_leaf_30_59,0.32992822146818107
gbdt_leaf_24_19,-0.3291275998922292
gbdt_leaf_20_45,0.32840886027536514
gbdt_leaf_30_41,0.32804906930165023
gbdt_leaf_8_63,0.3279660890938006
gbdt_leaf_13_61,0.3277833656677702
gbdt_leaf_19_39,-0.32736235368144256
gbdt_leaf_17_43,0.326137130069509
gbdt_leaf_30_2,0.325941740069909
gbdt_leaf_22_49,0.3257577214630105
gbdt_leaf_8_25,0.32513347383938995
gbdt_leaf_8_43,0.3236383043227043
gbdt_leaf_3_47,-0.32350013773966146
gbdt_leaf_17_36,-0.3217190910909176
gbdt_leaf_19_54,-0.32153832371724794
gbdt_leaf_16_42,-0.3210966807532201
gbdt_leaf_7_50,0.3210164603696443
gbdt_leaf_30_36,0.3206848686999463
gbdt_leaf_17_9,-0.3206201072237057
gbdt_leaf_26_49,0.3196464518977693
gbdt_leaf_21_30,0.3192985424611395
gbdt_leaf_28_38,-0.31922361700576785
gbdt_leaf_16_14,0.31902673903514533
gbdt_leaf_19_47,0.31821933862635077
gbdt_leaf_1_54,0.3181185851739425
gbdt_leaf_27_33,0.3180374586884964
gbdt_leaf_28_26,-0.3179588709186196
gbdt_leaf_21_28,-0.3177775827745692
gbdt_leaf_21_31,-0.3177514213388357
gbdt_leaf_18_11,-0.3176345196849331
gbdt_leaf_17_50,0.31659401583419994
gbdt_leaf_17_30,-0.3157333964500042
gbdt_leaf_30_17,-0.31540498835977665
gbdt_leaf_15_35,0.31528231777210475
gbdt_leaf_0_54,0.3151913434278572
gbdt_leaf_19_8,-0.3148821545644972
gbdt_leaf_30_40,-0.314341491206709
gbdt_leaf_7_6,0.3139354513145288
gbdt_leaf_17_56,0.3138672071723939
gbdt_leaf_5_18,-0.31351244822211316
gbdt_leaf_26_58,-0.31260742037239425
gbdt_leaf_9_31,0.3125324815322525
gbdt_leaf_31_22,-0.3124432250499472
gbdt_leaf_23_18,-0.31181599919161396
gbdt_leaf_17_11,0.31152624304747567
gbdt_leaf_29_27,0.3112925364356302
gbdt_leaf_13_23,-0.31070210295733497
gbdt_leaf_28_7,-0.3105928753919515
gbdt_leaf_17_39,-0.31053065673202024
gbdt_leaf_19_31,-0.30986363993931476
gbdt_leaf_2_37,-0.3096452144329644
gbdt_leaf_27_34,0.3090528334601594
gbdt_leaf_4_54,-0.3087244904284997
gbdt_leaf_29_34,0.3083667666653881
gbdt_leaf_11_15,-0.3075332620406093
gbdt_leaf_16_62,-0.3072426425163352
gbdt_leaf_18_49,0.3071232424233627
gbdt_leaf_7_52,0.30695734695964133
gbdt_leaf_16_24,0.3065591636183844
gbdt_leaf_9_20,-0.3065573788405257
gbdt_leaf_20_9,-0.3063542164465781
gbdt_leaf_15_4,-0.3062554785262524
gbdt_leaf_30_49,-0.3050138434000289
