Feature,Gain_Importance,Split_Importance,Mean_Contrib_Value,Impact_Direction
VIX_Change,0.08244265809933536,0.059027777777777776,-0.003198980557042073,Negative
HSI_Return_10d,0.08021888357796206,0.0679563492063492,7.652252419682285e-05,Positive
HSI_Return_60d,0.055900761783771846,0.047619047619047616,-0.000592726125314579,Negative
HSI_Return_20d,0.05409087440261705,0.042162698412698416,0.00017160240869693312,Positive
US_10Y_Yield_Change,0.05061172619616446,0.04265873015873016,0.00028259780509840444,Positive
HSI_Return_1d,0.04613547923717323,0.04017857142857143,0.00019621480460665705,Positive
HSI_Return_5d,0.045359937094153514,0.03968253968253968,-4.627726261366158e-05,Negative
SP500_Return,0.04442836761669577,0.042162698412698416,0.00016183722477679775,Positive
US_10Y_Yield,0.0424333969222435,0.03819444444444445,-0.0001751663160208443,Negative
VIX_Ratio_MA20,0.041543003297627445,0.039186507936507936,3.709587775216134e-05,Positive
NASDAQ_Return_20d,0.038997781465391644,0.033234126984126984,-4.4507451022752504e-05,Negative
NASDAQ_Return_5d,0.03422085017353151,0.03422619047619048,-0.000807001806150797,Negative
SP500_Return_20d,0.032577313147053956,0.030257936507936508,0.00026631398157453916,Positive
SP500_Return_5d,0.030403138392085683,0.02628968253968254,-0.0001684677146419809,Negative
NASDAQ_Return,0.030204577001530907,0.02976190476190476,-0.00046245601017554376,Negative
HSI_Return_3d,0.02637264716756626,0.028769841269841268,-2.7406680305832296e-05,Negative
RSI_ROC,0.008683390659499657,0.012896825396825396,0.00021471077281130994,Positive
Volatility,0.008628999973595886,0.010416666666666666,-0.00013504284847906916,Negative
RS_Ratio_1d,0.006948104120919446,0.008432539682539682,0.0001854248573886136,Positive
ATR_Ratio,0.006662008998710314,0.00992063492063492,7.771296940132851e-05,Positive
Turnover_Mean_20,0.006565311080283058,0.008432539682539682,-0.0001382586418225904,Negative
CMF_Signal,0.0065577293239740195,0.006944444444444444,-7.442914914422665e-05,Negative
RS_Ratio_60d,0.006500003166414514,0.008432539682539682,-1.0073445413264223e-05,Negative
ATR,0.0064541016305087896,0.009424603174603174,2.71416914596019e-05,Positive
Return_10d,0.006061546818629372,0.00744047619047619,8.419180972071501e-07,Positive
RSI,0.005913482074858908,0.006944444444444444,0.00023709104782640593,Positive
Vol_Ratio,0.005891957428148237,0.007936507936507936,-0.00012261254792113652,Negative
MACD_histogram,0.005827004412969973,0.006448412698412698,-0.0002945954244826686,Negative
Stoch_D,0.0057412363214535585,0.006448412698412698,-0.00014411537188361025,Negative
Return_5d,0.005588019800533096,0.00744047619047619,0.00016758918798057007,Positive
-DI,0.005456020443936812,0.00744047619047619,1.3903571720921065e-05,Positive
MA10_Deviation,0.005291479456820701,0.006944444444444444,1.3220124387139173e-05,Positive
MA5_Deviation,0.005217205378127777,0.006944444444444444,0.0005171763706524003,Positive
Turnover_Z_Score,0.005169011288053581,0.00744047619047619,0.00025590730351940935,Positive
RS_Ratio_3d,0.004820648641559183,0.006944444444444444,-0.0002046657247551435,Negative
Returns,0.004767765175518921,0.00744047619047619,0.00015483439474484325,Positive
ADX,0.00476381383105805,0.00744047619047619,4.125592963539322e-06,Positive
Turnover_Std_20,0.004735495940455825,0.006448412698412698,-0.0004911316667937125,Negative
OBV,0.004719393763791605,0.006944444444444444,-0.0007647063916020885,Negative
MF_Multiplier,0.0046099324035964,0.005952380952380952,0.0005973107448124837,Positive
Price_Percentile,0.004420407564545564,0.005952380952380952,0.0001241722267568791,Positive
MACD_Hist_ROC,0.00420768687398962,0.005952380952380952,0.00037440298992478735,Positive
BB_Width,0.004204961642502096,0.006448412698412698,0.0004214205067512574,Positive
MACD,0.004150818778435021,0.00496031746031746,1.8081814701488365e-05,Positive
+DI,0.0041280179776667855,0.005952380952380952,-0.0011070994856321784,Negative
+DM,0.004077706271492845,0.005952380952380952,-0.0009626574755445578,Negative
-DM,0.003974580521174042,0.005952380952380952,-4.077395371319535e-05,Negative
Return_60d,0.003889600417119028,0.00496031746031746,0.0002510773942679599,Positive
Return_20d,0.003849173165844264,0.00496031746031746,0.0004623805781168837,Positive
MACD_signal,0.0037894510684929952,0.00496031746031746,-0.0008314378887726383,Negative
ROC,0.0036994814554706284,0.005952380952380952,0.0013017555961392677,Positive
CMF,0.003561341049073891,0.005456349206349206,0.00025361370500818207,Positive
ATR_MA,0.003547285335677731,0.00496031746031746,-8.681754921486073e-05,Negative
BB_width,0.003402233300698,0.00496031746031746,-0.00040702373905212555,Negative
Vol_Mean_20,0.0033191011981344555,0.004464285714285714,0.0002009730509520232,Positive
RS_Diff_1d,0.003284884617187577,0.004464285714285714,0.0002459764095960291,Positive
Price_Pct_20d,0.0032404892796091935,0.003472222222222222,0.0,Negative
MF_Volume,0.003222291123548782,0.003968253968253968,0.0,Negative
Return_3d,0.0032094289616606208,0.004464285714285714,0.0,Negative
RS_Diff_5d,0.0028760264285828986,0.003968253968253968,0.0,Negative
Vol_Std_20,0.0028496048212440723,0.004464285714285714,0.0,Negative
Williams_R,0.002797731867293751,0.003968253968253968,0.0,Negative
RS_Diff_10d,0.0027826181829398566,0.003968253968253968,0.0,Negative
RS_Diff_20d,0.0026238885732020613,0.003472222222222222,0.0,Negative
Turnover_Rate,0.0026109114884950283,0.003968253968253968,0.0,Negative
Turnover,0.002588143660644208,0.003968253968253968,0.0,Negative
RS_Ratio_20d,0.002415140636802503,0.002976190476190476,0.0,Negative
Stoch_K,0.0023849041877732225,0.003472222222222222,6.388315746973103e-05,Positive
Vol_Z_Score,0.0022047990614172453,0.002976190476190476,0.0028912822116876785,Positive
MACD_Hist,0.002150478237236947,0.00248015873015873,-0.00087522097376323,Negative
TP,0.0019875330598708926,0.002976190476190476,-0.00047878362145574384,Negative
RS_Diff_3d,0.0018661514366982,0.002976190476190476,-0.008630032674156596,Negative
Relative_Return,0.0018061544042377827,0.00248015873015873,0.003641962826351082,Positive
Low_Min,0.0017706633434176155,0.001984126984126984,0.004341324355507822,Positive
RS_Diff_60d,0.001712121602732179,0.00248015873015873,-0.0002918918949753828,Negative
Price_Ratio_MA20,0.001630655512154219,0.001984126984126984,-0.00021831594543281945,Negative
Price_Ratio_MA50,0.001603996511160409,0.00248015873015873,4.703690654843226e-05,Positive
RS_Ratio_10d,0.0014146814842880275,0.001984126984126984,3.179380885134154e-05,Positive
VWAP,0.0013619361384504464,0.001488095238095238,2.3939747006024185e-05,Positive
BB_position,0.0012798687745217481,0.001984126984126984,0.00023075780609186592,Positive
Price_Ratio_MA5,0.001211527650199105,0.001984126984126984,9.892637092873671e-05,Positive
Momentum_5d,0.001206231382433378,0.001488095238095238,0.00048325261037351626,Positive
RS_Ratio_5d,0.0008426359007415185,0.001488095238095238,0.0005769105474427142,Positive
BB_Breakout,0.0006215753037840358,0.000992063492063492,0.0002633744784978685,Positive
Return_1d,0.0005951635429188264,0.000992063492063492,2.598653218065228e-05,Positive
High_Max,0.0005862416730377209,0.000992063492063492,5.7030904886644884e-05,Positive
Strong_Volume_Up,0.00034975698661137013,0.000496031746031746,0.0,Negative
Multi_Period_RS_Score,0.0003129061760239115,0.000496031746031746,0.00035607886534666305,Positive
BB_Position,0.000310588310459283,0.000496031746031746,-5.892873026831896e-06,Negative
Weak_Volume_Down,0.00028028137543442737,0.000496031746031746,7.206953732988233e-05,Positive
Momentum_10d,0.00027108397454807546,0.000496031746031746,0.00020081402753944648,Positive
20d_RS_Signal,0.0,0.0,-3.4410466681434156e-05,Negative
60d_Trend,0.0,0.0,0.00013792007086363246,Positive
60d_RS_Signal,0.0,0.0,-0.010858526028615846,Negative
20d_Trend,0.0,0.0,0.0018093538124051903,Positive
5d_Trend,0.0,0.0,0.0009839369953603123,Positive
3d_RS_Signal,0.0,0.0,-0.002135404473170422,Negative
3d_Trend,0.0,0.0,0.0024954789924497966,Positive
Multi_Period_Trend_Score,0.0,0.0,0.006358920468965168,Positive
5d_RS_Signal,0.0,0.0,-0.0024468153196784003,Negative
10d_Trend,0.0,0.0,0.00428397022394596,Positive
10d_RS_Signal,0.0,0.0,0.0004989049882699418,Positive
Outperforms_HSI,0.0,0.0,0.00015113348237114335,Positive
