Feature,Gain_Importance,Split_Importance,Mean_Contrib_Value,Impact_Direction
HSI_Return_10d,0.07623060263154241,0.05478477410174315,-0.005856928245358949,Negative
US_10Y_Yield_Change,0.07179989892841464,0.04766986837424404,0.0005676789424995314,Positive
HSI_Return_20d,0.06406251186958747,0.04446816079686944,-7.767556735419435e-05,Negative
SP500_Return_20d,0.05746129149256748,0.04055496264674493,-6.148849137763935e-05,Negative
HSI_Return_3d,0.05575426945311135,0.04446816079686944,-0.00013258936032248624,Negative
HSI_Return_60d,0.05368444315821335,0.035218783351120594,7.779020948973121e-05,Positive
US_10Y_Yield,0.0448312058060971,0.036997509782995375,-0.0004088278052615172,Negative
VIX_Ratio_MA20,0.03987593265652566,0.033084311632870865,0.003742431320049444,Positive
NASDAQ_Return_5d,0.03813016607531639,0.028459622909996443,-0.0003931422783187072,Negative
HSI_Return_1d,0.03587245918015692,0.030949839914621132,0.00015253518821965482,Positive
SP500_Return,0.0335047146232175,0.02774813233724653,-1.7059532115791707e-05,Negative
VIX_Change,0.03226098557946558,0.031305585200996085,-0.0012418972695137833,Negative
NASDAQ_Return_20d,0.027512393168875528,0.025257915332621842,2.4029320262323138e-05,Positive
NASDAQ_Return,0.02680350826024782,0.023479188900747065,-0.00019847286747328179,Negative
SP500_Return_5d,0.02672500417824354,0.02170046246887229,0.00020752931734912617,Positive
HSI_Return_5d,0.02152643350140604,0.017075773745997867,0.00014981841622747409,Positive
MF_Multiplier,0.012626956293117296,0.018498754891497687,0.0003516674203025284,Positive
Volatility,0.010602171993865766,0.012806830309498399,0.00019217949392035655,Positive
ATR_Ratio,0.008532360033612532,0.014229811454998222,0.0008619255064488279,Positive
RSI_ROC,0.008528812398161518,0.013162575595873355,6.436855085801683e-05,Positive
Turnover,0.007701024299875584,0.012451085023123443,0.00048364490640631966,Positive
BB_width,0.00766436158545995,0.013874066168623266,0.0005775213674044138,Positive
RS_Ratio_5d,0.007595852226569967,0.012451085023123443,0.00016669536616193298,Positive
Return_60d,0.007594578966039975,0.013162575595873355,0.000616020292275234,Positive
Return_3d,0.007511240845344024,0.011383849163998577,0.00011120703446259922,Positive
CMF_Signal,0.007496472884774828,0.011383849163998577,-0.00048767292726145575,Negative
Turnover_Z_Score,0.006990270000910903,0.009960868018498754,-0.0011310246081814507,Negative
