fold,test_start,test_end,n_train,n_test,accuracy,f1,precision,recall,confident_accuracy,n_confident
1,2025-11-27,2026-01-09,18358,1572,0.6036895674300254,0.6341749853200235,0.5927552140504939,0.6818181818181818,0.6036895674300254,1572
2,2026-01-12,2026-03-02,19028,1590,0.5786163522012578,0.5592105263157895,0.5985915492957746,0.5246913580246914,0.5786163522012578,1590
3,2026-03-03,2026-04-14,19028,1588,0.5170025188916877,0.5538103548574753,0.5225027442371021,0.5891089108910891,0.5170025188916877,1588
4,2026-04-15,2026-05-29,19036,1590,0.5314465408805031,0.5358255451713395,0.5408805031446541,0.5308641975308642,0.5314465408805031,1590
